Gene	sim	sec
c11.1	Dsim\GD16068	Dsec\GM22241
c12.1	Dsim\GD24660	Dsec\GM22219
c12.2	Dsim\GD24775	Dsec\GM22484
C15	Dsim\GD19430	Dsec\GM10429
C1GalTA	Dsim\GD22375	Dsec\GM12650
C3G	Dsim\GD16179	Dsec\GM12552
C901	Dsim\GD16007	Dsec\GM11273
ca	Dsim\GD21470	Dsec\GM12827
Ca-alpha1D	Dsim\GD24041	Dsec\GM18655
Ca-alpha1T	Dsim\GD16210	Dsec\GM12593
Ca-beta	Dsim\GD22184	Dsec\GM11112
CaBP1	Dsim\GD21912	Dsec\GM17901
cact	Dsim\cact	Dsec\GM17910
cad	Dsim\GD24280	Dsec\GM23369
Cad74A	Dsim\GD12413	Dsec\GM24339
Cad87A	Dsim\GD20623	Dsec\GM26060
Cad88C	Dsim\GD18969	Dsec\GM24175
Cad96Ca	Dsim\GD18227	Dsec\GM17743
Cad96Cb	Dsim\GD18225	Dsec\GM17741
Cad99C	Dsim\GD21474	Dsec\GM12831
CadN	Dsim\GD21853	Dsec\GM17111
CadN2	Dsim\GD21851	Dsec\GM17110
Cadps	Dsim\GD24425	Dsec\GM13031
Caf1-180	Dsim\GD24564	Dsec\GM21191
Caf1-55	Dsim\GD18995	Dsec\GM24205
cag	Dsim\GD15259	Dsec\GM20484
CAH1	Dsim\CAH1	Dsec\GM15222
CAH2	Dsim\GD14364	Dsec\GM25332
caix	Dsim\GD18095	Dsec\GM10133
cal1	Dsim\GD19138	Dsec\GM15207
CalpA	Dsim\GD11453	Dsec\GM21958
CalpB	Dsim\GD14224	Dsec\GM25192
CalpC	Dsim\GD17276	Dsec\GM13427
Calr	Dsim\GD20777	Dsec\GM26236
Calx	Dsim\GD19389	Dsec\GM15056
Cam	Dsim\GD10849	Dsec\GM21351
CaMKI	Dsim\GD24788	Dsec\GM26797
Camta	Dsim\GD10658	Dsec\GM21125
can	Dsim\GD12864	Dsec\GM24813
cana	Dsim\GD23772	Dsec\GM11105
CanA-14F	Dsim\GD15742	Dsec\GM13389
CanA1	Dsim\GD21557	Dsec\GM12918
CanB	Dsim\GD15356	Dsec\GM20979
Cand1	Dsim\GD22267	Dsec\GM11724
Cap-D2	Dsim\GD21449	Dsec\GM12803
Cap-D3	Dsim\GD23349	Dsec\GM18553
Cap-G	Dsim\GD10940	Dsec\GM21443
Cap-H2	Dsim\GD18705	Dsec\GM23894
Capa	Dsim\GD17586	Dsec\GM12207
CapaR	Dsim\GD12106	Dsec\GM22127
Caper	Dsim\GD23448	Dsec\GM16278
Capr	Dsim\GD12335	Dsec\GM14930
caps	Dsim\GD14437	Dsec\GM25406
capt	Dsim\GD22924	Dsec\GM16624
capu	Dsim\GD22724	Dsec\GM18116
car	Dsim\GD17447	Dsec\GM22966
CarT	Dsim\GD21684	Dsec\GM23312
cas	Dsim\GD19588	Dsec\GM10598
CASK	Dsim\GD18503	Dsec\GM23693
casp	Dsim\GD25573	Dsec\GM20096
Cat	Dsim\Cat	Dsec\Cat
cathD	Dsim\GD10217	Dsec\GM20753
cato	Dsim\GD25551	Dsec\GM20070
Catsup	Dsim\Catsup	Dsec\GM17316
caup	Dsim\GD14390	Dsec\GM25358
caz	Dsim\GD17272	Dsec\GM13418
Cbp53E	Dsim\GD11237	Dsec\GM21744
cbs	Dsim\GD10966	Dsec\GM21469
cbt	Dsim\cbt	Dsec\cbt
Cby	Dsim\GD20900	Dsec\GM26378
CCAP	Dsim\GD18435	Dsec\GM23628
CCAP-R	Dsim\GD18159	Dsec\GM10207
CCDC151	Dsim\GD14337	Dsec\GM25306
CCDC53	Dsim\GD23500	Dsec\GM16698
CCHa1	Dsim\GD20461	Dsec\GM25891
CCHa1-R	Dsim\GD25454	Dsec\GM19962
CCHa2	Dsim\GD20502	Dsec\GM25941
CCHa2-R	Dsim\GD10394	Dsec\GM16533
Cchl	Dsim\GD18482	Dsec\GM23672
CCKLR-17D3	Dsim\GD15618	Dsec\GM22785
Ccm3	Dsim\GD19020	Dsec\GM24229
Ccn	Dsim\GD14724	Dsec\GM25717
Ccp84Ab	Dsim\GD19526	Dsec\GM10912
Ccp84Ac	Dsim\GD19528	Dsec\GM10533
Ccp84Ad	Dsim\GD16755	Dsec\GM10911
Ccp84Ae	Dsim\GD19530	Dsec\GM10534
Ccp84Af	Dsim\GD19531	Dsec\GM10535
Ccp84Ag	Dsim\GD19890	Dsec\GM10910
Ccs	Dsim\GD26004	Dsec\GM20549
Cct1	Dsim\GD13623	Dsec\GM14419
Cct2	Dsim\GD13624	Dsec\GM14420
Cctgamma	Dsim\GD19118	Dsec\GM15181
Ccz1	Dsim\GD17601	Dsec\GM14033
cd	Dsim\GD20977	Dsec\GM26459
CD98hc	Dsim\GD19444	Dsec\GM10442
Cda4	Dsim\GD15482	Dsec\GM11719
Cda5	Dsim\GD22994	Dsec\GM16705
Cda9	Dsim\GD11251	Dsec\GM21760
CDase	Dsim\GD21520	Dsec\GM12881
cdc14	Dsim\GD22466	Dsec\GM13298
Cdc16	Dsim\GD21010	Dsec\GM26497
Cdc27	Dsim\GD13080	Dsec\GM13783
Cdc2rk	Dsim\GD26008	Dsec\GM20555
Cdc37	Dsim\Cdc37	Dsec\Cdc37
Cdc42	Dsim\GD17456	Dsec\GM22983
CDC45L	Dsim\GD16439	Dsec\GM19000
Cdc5	Dsim\GD25709	Dsec\GM14280
Cdc6	Dsim\GD12971	Dsec\GM24924
CdGAPr	Dsim\GD21733	Dsec\GM16986
cdi	Dsim\GD20136	Dsec\GM23341
cDIP	Dsim\GD20003	Dsec\GM15096
Cdk1	Dsim\GD22264	Dsec\GM11695
Cdk12	Dsim\GD14967	Dsec\GM22376
Cdk2	Dsim\GD19371	Dsec\GM23132
CDK2AP1	Dsim\GD17007	Dsec\GM11459
Cdk4	Dsim\GD11207	Dsec\GM21710
Cdk5	Dsim\GD25609	Dsec\GM20132
Cdk5alpha	Dsim\GD22277	Dsec\GM11780
Cdk7	Dsim\GD24595	Dsec\GM12652
Cdk8	Dsim\GD12888	Dsec\GM24836
Cdk9	Dsim\GD25120	Dsec\GM15631
Cdlc2	Dsim\GD23096	Dsec\GM12359
cdm	Dsim\GD20201	Dsec\GM15325
CdsA	Dsim\GD14055	Dsec\GM25022
CecA2	Dsim\CecA1	Dsec\CecA1
CecB	Dsim\CecB	Dsec\CecB
Ced-12	Dsim\GD23817	Dsec\GM26729
ced-6	Dsim\GD10073	Dsec\GM20601
Cen	Dsim\GD21689	Dsec\GM23315
CenB1A	Dsim\GD21002	Dsec\GM26489
CenG1A	Dsim\GD23935	Dsec\GM15341
Cep135	Dsim\GD14526	Dsec\GM25508
cep290	Dsim\GD13577	Dsec\GM14359
Cep89	Dsim\GD25603	Dsec\GM20125
Cep97	Dsim\GD23262	Dsec\GM18445
cer	Dsim\GD25324	Dsec\GM19834
Cerk	Dsim\GD19624	Dsec\GM10643
cert	Dsim\GD13006	Dsec\GM24955
Cf2	Dsim\GD22683	Dsec\GM18065
Cfp1	Dsim\GD16069	Dsec\GM22262
cg	Dsim\GD11028	Dsec\GM21517
CG10000	Dsim\GD18021	Dsec\GM12286
CG10005	Dsim\GD20617	Dsec\GM26054
CG10011	Dsim\GD18026	Dsec\GM16283
CG10014	Dsim\GD18804	Dsec\GM24003
CG10019	Dsim\GD23251	Dsec\GM18432
CG10026	Dsim\GD24208	Dsec\GM17350
CG10029	Dsim\GD19485	Dsec\GM10486
CG10031	Dsim\GD22732	Dsec\GM18124
CG10035	Dsim\GD20576	Dsec\GM26018
CG10038	Dsim\GD20584	Dsec\GM26026
CG10041	Dsim\GD20582	Dsec\GM26025
CG10050	Dsim\GD19925	Dsec\GM10945
CG10051	Dsim\GD11448	Dsec\GM21952
CG10053	Dsim\GD19924	Dsec\GM10944
CG10055	Dsim\GD19497	Dsec\GM10501
CG10062	Dsim\GD11449	Dsec\GM21953
CG10063	Dsim\GD13100	Dsec\GM13801
CG10064	Dsim\GD13102	Dsec\GM13803
CG10068	Dsim\GD19502	Dsec\GM10506
CG10073	Dsim\GD11451	Dsec\GM21954
CG10075	Dsim\GD13104	Dsec\GM13807
CG10077	Dsim\GD13105	Dsec\GM13808
CG10082	Dsim\GD11610	Dsec\GM15848
CG10086	Dsim\GD19947	Dsec\GM10973
CG10089	Dsim\GD12655	Dsec\GM24587
CG10096	Dsim\GD20574	Dsec\GM11053
CG10098	Dsim\GD19912	Dsec\GM10933
CG10103	Dsim\GD13110	Dsec\GM13817
CG10104	Dsim\GD11051	Dsec\GM21542
CG10116	Dsim\GD12656	Dsec\GM24588
CG10126	Dsim\GD20537	Dsec\GM25975
CG10131	Dsim\GD11066	Dsec\GM21560
CG10132	Dsim\GD24216	Dsec\GM17357
CG10133	Dsim\GD12657	Dsec\GM24589
CG10137	Dsim\GD24217	Dsec\GM17360
CG10139	Dsim\GD11068	Dsec\GM21563
CG10140	Dsim\GD12658	Dsec\GM24590
CG10147	Dsim\GD13125	Dsec\GM13839
CG10151	Dsim\GD25661	Dsec\GM20188
CG10154	Dsim\GD12659	Dsec\GM24591
CG10164	Dsim\GD18374	Dsec\GM23557
CG10165	Dsim\GD21747	Dsec\GM17001
CG10166	Dsim\GD21748	Dsec\GM17002
CG10175	Dsim\GD18378	Dsec\GM23561
CG10182	Dsim\GD18373	Dsec\GM21442
CG10184	Dsim\GD18368	Dsec\GM23553
CG10185	Dsim\GD20309	Dsec\GM25736
CG10188	Dsim\GD21752	Dsec\GM17004
CG10189	Dsim\GD21754	Dsec\GM17005
CG10194	Dsim\GD21755	Dsec\GM17006
CG10195	Dsim\GD21756	Dsec\GM17007
CG10202	Dsim\GD25655	Dsec\GM20181
CG10205	Dsim\GD11079	Dsec\GM21574
CG10208	Dsim\GD18352	Dsec\GM23538
CG10209	Dsim\GD25653	Dsec\GM20176
CG10211	Dsim\GD24141	Dsec\GM17279
CG10214	Dsim\GD18354	Dsec\GM23540
CG10217	Dsim\GD18355	Dsec\GM23541
CG10222	Dsim\GD12666	Dsec\GM24597
CG10226	Dsim\GD13133	Dsec\GM13848
CG10232	Dsim\GD18360	Dsec\GM23546
CG10237	Dsim\GD21760	Dsec\GM17010
CG1024	Dsim\GD19547	Dsec\GM10556
CG10252	Dsim\GD18365	Dsec\GM23550
CG10254	Dsim\GD18366	Dsec\GM23551
CG10257	Dsim\GD11091	Dsec\GM21585
CG10262	Dsim\GD21742	Dsec\GM16995
CG10264	Dsim\GD19070	Dsec\GM24280
CG10268	Dsim\GD21744	Dsec\GM16997
CG10274	Dsim\GD13140	Dsec\GM13856
CG10280	Dsim\GD19567	Dsec\GM10577
CG10283	Dsim\GD21831	Dsec\GM17086
CG10286	Dsim\GD19870	Dsec\GM10891
CG10289	Dsim\GD13141	Dsec\GM13857
CG10298	Dsim\GD19865	Dsec\GM10886
CG10300	Dsim\GD21032	Dsec\GM26524
CG10301	Dsim\GD21031	Dsec\GM26523
CG10306	Dsim\GD11617	Dsec\GM15855
CG10307	Dsim\GD11618	Dsec\GM15856
CG10311	Dsim\GD20297	Dsec\GM15442
CG10317	Dsim\GD20293	Dsec\GM15437
CG10321	Dsim\GD11609	Dsec\GM15847
CG10324	Dsim\GD20273	Dsec\GM15415
CG10332	Dsim\GD25030	Dsec\GM15525
CG10333	Dsim\GD24145	Dsec\GM17441
CG10337	Dsim\GD21746	Dsec\GM16999
CG10338	Dsim\GD24150	Dsec\GM17287
CG10340	Dsim\GD20275	Dsec\GM15417
CG10341	Dsim\GD24151	Dsec\GM17288
CG10343	Dsim\GD24152	Dsec\GM17289
CG10344	Dsim\GD25128	Dsec\GM15639
CG10345	Dsim\GD20277	Dsec\GM15420
CG10347	Dsim\GD15964	Dsec\GM13039
CG10348	Dsim\GD21811	Dsec\GM17064
CG10352	Dsim\GD15960	Dsec\GM13036
CG10353	Dsim\GD15959	Dsec\GM13589
CG10357	Dsim\GD13775	Dsec\GM14582
CG10359	Dsim\GD13774	Dsec\GM14581
CG10362	Dsim\GD15955	Dsec\GM13237
CG10366	Dsim\GD24229	Dsec\GM17374
CG10375	Dsim\GD21038	Dsec\GM26531
CG10376	Dsim\GD21815	Dsec\GM17070
CG10384	Dsim\GD11672	Dsec\GM15914
CG10395	Dsim\GD10370	Dsec\GM11102
CG10405	Dsim\GD19101	Dsec\GM15158
CG10407	Dsim\GD20311	Dsec\GM25738
CG10413	Dsim\GD21827	Dsec\GM17082
CG10417	Dsim\GD10360	Dsec\GM11092
CG10418	Dsim\GD14374	Dsec\GM25341
CG10420	Dsim\GD18223	Dsec\GM17740
CG10424	Dsim\GD12303	Dsec\GM14893
CG10425	Dsim\GD18220	Dsec\GM17737
CG10428	Dsim\GD24163	Dsec\GM17301
CG10431	Dsim\GD24166	Dsec\GM17303
CG10433	Dsim\GD25186	Dsec\GM15708
CG10435	Dsim\GD19439	Dsec\GM10437
CG10444	Dsim\GD25290	Dsec\GM19797
CG10445	Dsim\GD19449	Dsec\GM10445
CG10459	Dsim\GD10677	Dsec\GM21146
CG10462	Dsim\GD21740	Dsec\GM16993
CG10463	Dsim\GD24232	Dsec\GM17377
CG10465	Dsim\GD10363	Dsec\GM11095
CG10466	Dsim\GD24233	Dsec\GM17378
CG10467	Dsim\GD13155	Dsec\GM13871
CG10469	Dsim\GD13156	Dsec\GM13872
CG10470	Dsim\GD24177	Dsec\GM17318
CG10472	Dsim\GD13158	Dsec\GM13874
CG10477	Dsim\GD13159	Dsec\GM13877
CG10479	Dsim\GD13163	Dsec\GM13881
CG10481	Dsim\GD21730	Dsec\GM16982
CG10483	Dsim\GD13167	Dsec\GM13885
CG10486	Dsim\GD13168	Dsec\GM13886
CG10492	Dsim\GD24179	Dsec\GM13599
CG10494	Dsim\GD25195	Dsec\GM15717
CG10495	Dsim\GD24181	Dsec\GM17321
CG10505	Dsim\GD25211	Dsec\GM15734
CG10508	Dsim\GD14941	Dsec\GM22348
CG10510	Dsim\GD12135	Dsec\GM22159
CG10512	Dsim\GD17648	Dsec\GM22347
CG10513	Dsim\GD18217	Dsec\GM17735
CG10514	Dsim\GD18216	Dsec\GM17734
CG10516	Dsim\GD17641	Dsec\GM25566
CG10527	Dsim\GD25227	Dsec\GM15752
CG10543	Dsim\GD11554	Dsec\GM15793
CG10550	Dsim\GD18211	Dsec\GM17728
CG10560	Dsim\GD18206	Dsec\GM17724
CG10561	Dsim\GD24185	Dsec\GM17327
CG10565	Dsim\GD12143	Dsec\GM22166
CG10570	Dsim\GD21808	Dsec\GM17062
CG10576	Dsim\GD13178	Dsec\GM13901
CG10581	Dsim\GD12145	Dsec\GM22168
CG10584	Dsim\GD12146	Dsec\GM22169
CG10585	Dsim\GD14926	Dsec\GM22336
CG10588	Dsim\GD17647	Dsec\GM22333
CG10589	Dsim\GD14921	Dsec\GM22332
CG10591	Dsim\GD13185	Dsec\GM13908
CG10592	Dsim\GD13186	Dsec\GM13909
CG10600	Dsim\GD21806	Dsec\GM17059
CG10602	Dsim\GD21803	Dsec\GM17056
CG10616	Dsim\GD14379	Dsec\GM25346
CG10621	Dsim\GD21797	Dsec\GM17050
CG10623	Dsim\GD21796	Dsec\GM17049
CG10628	Dsim\GD21736	Dsec\GM16989
CG10631	Dsim\GD21737	Dsec\GM16991
CG10638	Dsim\GD12714	Dsec\GM24650
CG10639	Dsim\GD21794	Dsec\GM17047
CG10646	Dsim\GD17577	Dsec\GM24649
CG10650	Dsim\GD21791	Dsec\GM17043
CG10651	Dsim\GD11960	Dsec\GM23336
CG10654	Dsim\GD12712	Dsec\GM24648
CG10657	Dsim\GD12715	Dsec\GM24651
CG10660	Dsim\GD12716	Dsec\GM24652
CG10669	Dsim\GD18202	Dsec\GM17718
CG10671	Dsim\GD17599	Dsec\GM13929
CG10674	Dsim\GD13213	Dsec\GM13932
CG10680	Dsim\GD24238	Dsec\GM13585
CG10681	Dsim\GD14381	Dsec\GM25348
CG10694	Dsim\GD21063	Dsec\GM26556
CG10700	Dsim\GD21781	Dsec\GM17031
CG10702	Dsim\GD21784	Dsec\GM17036
CG10710	Dsim\GD12652	Dsec\GM24583
CG10713	Dsim\GD12660	Dsec\GM24592
CG10721	Dsim\GD12037	Dsec\GM17392
CG10725	Dsim\GD14449	Dsec\GM25419
CG10730	Dsim\GD21718	Dsec\GM16966
CG10731	Dsim\GD25566	Dsec\GM20089
CG10734	Dsim\GD25565	Dsec\GM20088
CG10737	Dsim\GD11432	Dsec\GM21936
CG10738	Dsim\GD14452	Dsec\GM25423
CG1074	Dsim\GD19733	Dsec\GM10758
CG10747	Dsim\GD21715	Dsec\GM16963
CG10748	Dsim\GD12684	Dsec\GM24618
CG10749	Dsim\GD14416	Dsec\GM25384
CG10750	Dsim\GD24193	Dsec\GM17333
CG10752	Dsim\GD12686	Dsec\GM24620
CG10754	Dsim\GD12694	Dsec\GM24628
CG10761	Dsim\GD24575	Dsec\GM11202
CG10764	Dsim\GD11268	Dsec\GM21775
CG1077	Dsim\GD19840	Dsec\GM10857
CG10778	Dsim\GD16139	Dsec\GM11961
CG10795	Dsim\GD25200	Dsec\GM15723
CG10799	Dsim\GD10958	Dsec\GM21460
CG10801	Dsim\GD16641	Dsec\GM12292
CG10802	Dsim\GD16642	Dsec\GM12293
CG10803	Dsim\GD16643	Dsec\GM12295
CG10804	Dsim\GD16329	Dsec\GM12723
CG10809	Dsim\GD12886	Dsec\GM24834
CG10814	Dsim\GD25765	Dsec\GM20285
CG10822	Dsim\GD11487	Dsec\GM21987
CG10827	Dsim\GD20021	Dsec\GM15118
CG10834	Dsim\GD21619	Dsec\GM16116
CG10839	Dsim\GD24033	Dsec\GM18645
CG10841	Dsim\GD18915	Dsec\GM24116
CG10845	Dsim\GD21144	Dsec\GM26642
CG10853	Dsim\GD13793	Dsec\GM14602
CG10859	Dsim\GD22061	Dsec\GM25543
CG10862	Dsim\GD13323	Dsec\GM14046
CG10863	Dsim\GD13308	Dsec\GM14027
CG10864	Dsim\GD17956	Dsec\GM18700
CG10866	Dsim\GD13310	Dsec\GM14029
CG10869	Dsim\GD22904	Dsec\GM16604
CG10874	Dsim\GD22870	Dsec\GM18261
CG10877	Dsim\GD20057	Dsec\GM23184
CG10880	Dsim\GD22864	Dsec\GM18255
CG10887	Dsim\GD19338	Dsec\GM23097
CG10889	Dsim\GD20083	Dsec\GM17697
CG10898	Dsim\GD18763	Dsec\GM23952
CG10899	Dsim\GD18260	Dsec\GM23454
CG1090	Dsim\GD19720	Dsec\GM10748
CG10903	Dsim\GD19965	Dsec\GM10995
CG10904	Dsim\GD24988	Dsec\GM15485
CG10907	Dsim\GD14329	Dsec\GM25298
CG10909	Dsim\GD20534	Dsec\GM25973
CG10910	Dsim\GD11332	Dsec\GM21838
CG10911	Dsim\GD25420	Dsec\GM19931
CG10912	Dsim\GD25419	Dsec\GM19930
CG10914	Dsim\GD11344	Dsec\GM21850
CG10915	Dsim\GD11345	Dsec\GM21851
CG10916	Dsim\GD11346	Dsec\GM21853
CG10919	Dsim\GD19945	Dsec\GM10971
CG1092	Dsim\GD19713	Dsec\GM10741
CG10920	Dsim\GD16147	Dsec\GM11973
CG10924	Dsim\GD11391	Dsec\GM21894
CG10927	Dsim\GD11395	Dsec\GM21898
CG10931	Dsim\GD11312	Dsec\GM21820
CG10932	Dsim\GD24579	Dsec\GM11967
CG10933	Dsim\GD11305	Dsec\GM21814
CG10934	Dsim\GD15436	Dsec\GM21813
CG10936	Dsim\rhi	Dsec\GM19963
CG10939	Dsim\GD11262	Dsec\GM21769
CG10947	Dsim\GD21704	Dsec\GM23329
CG10948	Dsim\GD12692	Dsec\GM24626
CG10949	Dsim\GD21703	Dsec\GM23328
CG10950	Dsim\GD11256	Dsec\GM21765
CG10958	Dsim\GD16879	Dsec\GM11227
CG10959	Dsim\GD16884	Dsec\GM11231
CG10960	Dsim\GD12693	Dsec\GM24627
CG10962	Dsim\GD16091	Dsec\GM13691
CG10969	Dsim\GD12698	Dsec\GM24630
CG10970	Dsim\GD16088	Dsec\GM13686
CG10973	Dsim\GD12702	Dsec\GM24633
CG10979	Dsim\GD19823	Dsec\GM10842
CG10984	Dsim\GD14401	Dsec\GM25369
CG10996	Dsim\GD15872	Dsec\GM17584
CG11000	Dsim\GD19824	Dsec\GM10843
CG11007	Dsim\GD11463	Dsec\GM21970
CG11018	Dsim\GD11474	Dsec\GM21978
CG11029	Dsim\GD23360	Dsec\GM18569
CG1103	Dsim\GD19719	Dsec\GM10747
CG11030	Dsim\GD23361	Dsec\GM18570
CG11034	Dsim\GD23364	Dsec\GM18574
CG11035	Dsim\GD19434	Dsec\GM10434
CG11037	Dsim\GD17559	Dsec\GM22175
CG11041	Dsim\GD11492	Dsec\GM21992
CG11044	Dsim\GD11494	Dsec\GM16936
CG1105	Dsim\GD24566	Dsec\GM10515
CG11050	Dsim\GD23421	Dsec\GM16183
CG11052	Dsim\GD19440	Dsec\GM10438
CG11060	Dsim\GD10461	Dsec\GM20935
CG11068	Dsim\GD24157	Dsec\GM17648
CG11069	Dsim\GD21143	Dsec\GM26641
CG11070	Dsim\GD23424	Dsec\GM16198
CG11073	Dsim\GD25145	Dsec\GM15663
CG11076	Dsim\GD24362	Dsec\GM13014
CG11077	Dsim\GD24363	Dsec\GM13015
CG11085	Dsim\GD24796	Dsec\GM11573
CG11089	Dsim\GD21142	Dsec\GM26640
CG1109	Dsim\GD19809	Dsec\GM10830
CG11095	Dsim\GD17148	Dsec\GM17644
CG11099	Dsim\GD11497	Dsec\GM19750
CG11103	Dsim\GD17144	Dsec\GM17641
CG11106	Dsim\GD17009	Dsec\GM11465
CG11109	Dsim\GD15057	Dsec\GM22476
CG11110	Dsim\GD11530	Dsec\GM22032
CG11112	Dsim\GD10472	Dsec\GM20948
CG11113	Dsim\GD10473	Dsec\GM20949
CG11122	Dsim\GD16002	Dsec\GM11265
CG11123	Dsim\GD10479	Dsec\GM20954
CG11125	Dsim\GD10481	Dsec\GM20956
CG11127	Dsim\GD10483	Dsec\GM20957
CG1113	Dsim\GD19770	Dsec\GM10796
CG11131	Dsim\GD15060	Dsec\GM22480
CG11134	Dsim\GD17142	Dsec\GM17635
CG11137	Dsim\GD12050	Dsec\GM22074
CG11145	Dsim\GD10260	Dsec\GM20798
CG11147	Dsim\GD22636	Dsec\GM18001
CG11149	Dsim\GD14937	Dsec\GM18003
CG11151	Dsim\GD24813	Dsec\GM17637
CG11155	Dsim\GD24422	Dsec\GM13027
CG11158	Dsim\GD17140	Dsec\GM17628
CG11159	Dsim\GD25258	Dsec\GM19768
CG1116	Dsim\GD19766	Dsec\GM10792
CG11164	Dsim\GD17137	Dsec\GM17626
CG11168	Dsim\GD21146	Dsec\GM17770
CG11178	Dsim\GD24811	Dsec\GM17619
CG11180	Dsim\GD25264	Dsec\GM19774
CG11190	Dsim\GD16119	Dsec\GM21409
CG11191	Dsim\GD10198	Dsec\GM20731
CG11192	Dsim\GD25281	Dsec\GM19789
CG11200	Dsim\GD25284	Dsec\GM19792
CG11208	Dsim\GD25296	Dsec\GM19803
CG11210	Dsim\GD10542	Dsec\GM21007
CG11211	Dsim\GD10332	Dsec\GM16478
CG11221	Dsim\GD23430	Dsec\GM16214
CG11226	Dsim\GD15053	Dsec\GM22472
CG11227	Dsim\GD15520	Dsec\GM22651
CG11236	Dsim\GD23432	Dsec\GM16217
CG1124	Dsim\GD19757	Dsec\GM10785
CG11241	Dsim\GD12056	Dsec\GM22081
CG11247	Dsim\GD12094	Dsec\GM22117
CG11249	Dsim\GD14986	Dsec\GM22397
CG11251	Dsim\GD10083	Dsec\GM24608
CG11257	Dsim\GD11452	Dsec\GM21957
CG1126	Dsim\GD19751	Dsec\GM10778
CG11261	Dsim\GD12683	Dsec\GM24616
CG11262	Dsim\GD14418	Dsec\GM25385
CG11263	Dsim\GD14419	Dsec\GM25386
CG11267	Dsim\GD14421	Dsec\GM25388
CG11269	Dsim\GD11649	Dsec\GM15886
CG11275	Dsim\GD15448	Dsec\GM15891
CG11279	Dsim\GD14428	Dsec\GM25396
CG11284	Dsim\GD16911	Dsec\GM21755
CG11286	Dsim\GD19465	Dsec\GM10461
CG11289	Dsim\GD23454	Dsec\GM16333
CG1129	Dsim\GD19749	Dsec\GM10777
CG11294	Dsim\GD16098	Dsec\GM21128
CG11298	Dsim\GD11661	Dsec\GM15902
CG11306	Dsim\GD14979	Dsec\GM22390
CG11307	Dsim\GD14978	Dsec\GM22389
CG11309	Dsim\GD12125	Dsec\GM26924
CG11317	Dsim\GD16633	Dsec\GM12109
CG11318	Dsim\GD16611	Dsec\GM12107
CG11319	Dsim\GD22563	Dsec\GM14100
CG11321	Dsim\GD22542	Dsec\GM13847
CG11327	Dsim\GD22551	Dsec\GM13957
CG11333	Dsim\GD21579	Dsec\GM12943
CG11334	Dsim\GD16414	Dsec\GM12085
CG11340	Dsim\GD16469	Dsec\GM12091
CG11342	Dsim\GD13263	Dsec\GM13981
CG11345	Dsim\GD13259	Dsec\GM13976
CG11349	Dsim\GD13849	Dsec\GM14666
CG11353	Dsim\GD13850	Dsec\GM21621
CG11356	Dsim\GD15936	Dsec\GM13152
CG11357	Dsim\GD13851	Dsec\GM14670
CG1136	Dsim\GD13806	Dsec\GM14617
CG11360	Dsim\GD24410	Dsec\GM26809
CG11362	Dsim\GD11677	Dsec\GM15921
CG11369	Dsim\GD16851	Dsec\GM17529
CG1137	Dsim\GD19543	Dsec\GM10548
CG11370	Dsim\GD15047	Dsec\GM22465
CG11373	Dsim\GD19571	Dsec\GM10581
CG11377	Dsim\GD23000	Dsec\GM16714
CG11378	Dsim\GD16544	Dsec\GM19115
CG11379	Dsim\GD24707	Dsec\GM19116
CG1138	Dsim\GD19542	Dsec\GM10546
CG11380	Dsim\GD16545	Dsec\GM19119
CG11381	Dsim\GD16548	Dsec\GM19121
CG11382	Dsim\GD24710	Dsec\GM19123
CG1139	Dsim\GD13662	Dsec\GM14464
CG11391	Dsim\GD19311	Dsec\GM20874
CG11396	Dsim\GD12162	Dsec\GM22187
CG11399	Dsim\GD12163	Dsec\GM22188
CG11400	Dsim\Acp54A1	Dsec\GM21761
CG11403	Dsim\GD16432	Dsec\GM18989
CG11404	Dsim\GD15033	Dsec\GM22452
CG11406	Dsim\GD24968	Dsec\GM18263
CG11409	Dsim\GD16427	Dsec\GM18986
CG11412	Dsim\GD24712	Dsec\GM19126
CG11413	Dsim\GD11870	Dsec\GM11872
CG11414	Dsim\GD11873	Dsec\GM11875
CG11417	Dsim\GD16551	Dsec\GM19129
CG1142	Dsim\GD19482	Dsec\GM10482
CG11425	Dsim\GD15032	Dsec\GM22449
CG11426	Dsim\GD15031	Dsec\GM22448
CG1143	Dsim\GD13700	Dsec\GM14503
CG11436	Dsim\GD16292	Dsec\GM12685
CG11437	Dsim\GD15030	Dsec\GM22446
CG11438	Dsim\GD15029	Dsec\GM22445
CG11444	Dsim\GD16291	Dsec\GM12684
CG11447	Dsim\GD19317	Dsec\GM26867
CG11449	Dsim\GD17655	Dsec\GM22444
CG11453	Dsim\GD19314	Dsec\GM20876
CG11454	Dsim\GD23003	Dsec\GM16717
CG11456	Dsim\GD14917	Dsec\GM22329
CG11459	Dsim\GD19566	Dsec\GM10853
CG11470	Dsim\GD17726	Dsec\GM12238
CG11474	Dsim\GD25149	Dsec\GM15668
CG11475	Dsim\GD25150	Dsec\GM15669
CG11486	Dsim\GD13726	Dsec\GM14529
CG11498	Dsim\GD17300	Dsec\GM12177
CG11504	Dsim\GD21490	Dsec\GM12848
CG11505	Dsim\GD13743	Dsec\GM14551
CG11523	Dsim\GD12072	Dsec\GM22096
CG11529	Dsim\GD14368	Dsec\GM25336
CG11534	Dsim\GD14359	Dsec\GM25328
CG11537	Dsim\GD13356	Dsec\GM14082
